Entry,USVI_118_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_108_B,UVI_132_B,UVI_092_C,UVI_094_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_106_D,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_D
A0A0B5KU17,0,0,0,0,0,0,0,0,1,2,0,5.595,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0
A0A0B5RUB0,138.646,150.2,108,376.825,6,0,0,0,0,0,0,0,0,0,0,0,0,576.377,354.894,208.633,174.779,36.245,0,0,0,0,21,0,0,0,0,0,0,0,0,0
A0A0B6VQ48,50,6,0,15,0,0,1,0,11,22,24,71,28,46,29,27,5.284,103,187,72,10,26,0,0,0,0,0,88,86,155,65,93,92,36,94,0
A0A0B7P9G0,0,0,0,0,0,0,39,115,1.271,12.163,7.689,4.298,11.467,103,47,26,0,0,0,0,0,0,0,0,0,0,0,126.534,100.721,80.948,385,1087.309,770,459.345,963.231,0
A0A0C3VJP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C5PRQ1,0,9,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0C5URS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D1BUH6,0,0,0,0,0,0,0,0,0,5,0,0,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,2,0
A0A0D2XVZ5,0,0,0,0,0,0,0,0,0,2,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,28,0,1,0,0,0,0
A0A0D2YG06,0,238,128,277,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
A0A0D3QS97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS99,0,14,28,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
A0A0E0SMA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0F7CUE8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0G2JDV3,0,0,0,0,0,0,59,121,152,401.998,254,419,531,450,168,131,0,0,0,0,0,0,0,0,0,0,0,986,1043,920,1235,1752,1344,856,1860,0
A0A0G2JEB6,146,0,0,0,0,0,2,6,4,9,0,10,7,158,68,47,9,745.974,512,130,121,0,0,0,0,0,0,6,1,7,1,6,19,25,39,0
A0A0G2K047,0,0,0,0,0,0,3,2,2,6,0,0,3,5,2,7,0,0,0,0,0,0,0,0,0,0,0,9,15,22,4,15,0,6,24,0
A0A0G2K1Q8,36,42,51,113,1,0,0,0,0,0,0,0,0,0,0,0,1,288,178,105,68,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0
A0A0H2URH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2VBH0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.591,54,32,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H2VDN9,33,285,193,501,13,4,17,3,10,6,3,8,6,64.601,53,44,6,107,152,82,23,45,0,0,0,0,88,13,18,2,8,12,12,6,14,0
A0A0H3AL67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JQ59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3JRU9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3K6J4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,45,17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0H3LKL4,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054,864,320,522,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0I9QGZ2,45,19,8,36,0,0,1,1,1,9,0,17,5,88,42,30,10,398,329,139,77,24,0,0,0,0,0,3,0,2,6,15,3,4,6,0
A0A0K2JKU1,0,0,0,0,0,0,4,5,13,36,26,60,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,86,130,115,115,89,73,117,0
A0A0K2JL91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0K9RDW0,0,0,0,0,0,0,3,4,50,229,115,199,202,18,2,8,9,0,0,0,0,0,0,0,0,0,0,5,3,8,47,65,78,54,53,0
A0A0L0P4F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0L0P6P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0L7K812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M3R8G1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0M5K865,117.782,0,0,0,0,0,46,94,48,97.204,57.186,169.442,124.366,94,33,47,18.008,312.307,546.81,146,124.166,79.32,0,0,0,0,0,87.432,90.805,88.805,174.063,190.2,223.18,131,217.673,0
A0A0P0VG31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,83,19,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0WGX7,85,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,474,486,183,90,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A0A0P0X004,6,9,2,32,0,0,0,3,3,3,1,0,0,0,0,0,3,64,34,13,0,3,0,0,0,0,0,8,20,9,9,14,22,0,37,0
A0A0P0XB70,0,22,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P0XM10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0P6JG37,29,150,119.993,221,6,0,0,0,0,0,0,0,0,0,0,0,0,151,132,57,37,14,0,0,0,0,6.543,0,0,0,0,0,0,0,0,0
A0A0R3K2G2,0,27,12,44,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
A0A0R4I9Y1,2,28,17,32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,93.933,42,39.497,138,2,0,20.067,25.448,35.054,365.935,116.636,232.405,331.631,80.767,24.188,25.857,9,546.108,436.706,178.739,122.778,38.062,0,0,0,0,33,0,0,0,67.99,209.667,269.561,152.611,279.588,0
A0A0R4IC37,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IEW8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IF99,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.372,24.259,23.688,0,7.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IKJ1,123,139.322,111,237.223,4,0,15,34,41,143,88,146,184,273,163.579,99,6.022,545,627,263,148,63,0,0,0,0,20.55,248,320,302,214,314,237,232,210,0
A0A0R4IMY7,34,47,34,95,0,0,0,0,0,0,0,0,0,0,0,0,0,208,113,51,46,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0
A0A0R4IQZ2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,139,58,142,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IVA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A0R8YWJ7,0,0,0,0,0,0,3,5,15,71,4,43,61,33,24,8,0,0,0,0,0,0,0,0,0,0,0,187,471,267,38,102,185,101,193,0
A0A0S6XAW4,0,46,40,151,0,0,0,0,0,1,0,1,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,2,0,0,6,0
A0A0U5CNP2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.664,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A125YHX7,168,304,225.002,657,90,112,1,7,0,4,4,4,2,20,12,9,95.997,832,688,337,220,52,298,275,277,207,55,1,0,0,17,41,88,14,67,0
A0A125YS36,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,898,855,357,468,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A125YZN2,221,220,210,428,3,0,4,8,1,5,1,14,3,32,9,6,18,827,914,416,385,136,0,0,0,0,54,30,19,7,23,63,24,15,36,0
A0A140H545,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A0A140IL92,0,46.381,24.798,40.494,3.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A140JWS7,19,19,5,21,1,0,3,9,0,8.699,5,14,8,9.276,23.774,4,0,41,69,34,3,9,0,0,0,0,10,10,8,2,56,34,24,73.901,55.969,0
A0A140LI88,25,37,16,46,2,0,0,0,0,2,3,10,8,2,1,4,0,205,66,14,33,4,0,0,0,0,5,1,4,5,5,0,1,0,1,0
A0A140N890,0,36,44,31,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
A0A166YZW0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A166YZY4,0,0,0,0,0,0,1,0,0,2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,6,1,2,0,3,2,0
A0A166YZY9,49,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,212,123,31,36,9,0,0,0,0,0,3,7,22,0,0,0,0,0,0
A0A167LUQ4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,4,7,0,0,0,10,0,0
A0A168WVR6,5,58,30,96,2,0,0,0,0,0,0,0,0,4,0,1,1,15,10,16,6,3,0,0,0,0,10,2,0,6,0,1,0,0,5,0
A0A172J1S0,0,6,5,7,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,0,5,0,1,0
A0A172J1V3,0,30,10,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A0A182C2Z2,0,16.219,0,8.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B0GWK0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,111,32,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B2CTA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B3PEJ0,4,30,27,40,0,0,0,0,4,0,2,0,1,8,3,1,0,23,35,19,0,0,0,0,0,0,0,3,46,41,3,6,1,4,8,0
A0A1B4XBG9,73,149,72,205,1,0,0,6,20,59,33,34,36,17.135,5,5,23,201,284,112,69,35,0,0,0,0,45,23,27,20,40,89,17,36,71,0
A0A1B5L6A5,0,132,101,217,3,0,0,5,2,14,9,8,6,9,4,5,0,0,0,0,0,0,0,0,0,0,27,6,3,17,18,39,18,7,18,0
A0A1B7YCL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B8YAB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1C3YKE0,0,11,4,27,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1C7D1B7,45,68,71,184,1,0,0,0,0,0,0,0,0,0,0,0,1,151,178,92,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D3PCM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D5P556,15,0,0,0,0,0,0,1,0,1,0,0,1,7,2,5,1,54,69,23,2,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A0A1D6IEG9,9,33,34,52,0,0,0,0,0,0,0,0,0,0,0,0,17,12,8,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
A0A1D6KL43,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,439,170,259,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D6LAB7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PDL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PDU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PDZ1,0,713,318,877,27,1,25,28,178,413,308,327,363,711,394,342,13,0,0,0,0,0,0,0,0,0,171,2728,3199,2624.576,770,1403,1092,2219,514,0
A0A1D8PF45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PF57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PFV1,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1679,1727,769.336,1518,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PH78,0,155,143,203,6,0,2,1,2,1,2,11,7,4,1,4,0,0,0,0,0,0,0,0,0,0,56,0,6,1,23,16,19,5,4,0
A0A1D8PHH4,0,121,82,170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
A0A1D8PHW1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PL99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PN83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1D8PSK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A0A1E3B0T2,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1I9LM04,13,9,12,38,15,0,0,0,0,0,0,0,0,0,0,0,2,48,41,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L5BUX8,0,11,11,29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A0A1L5YRA2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L7TZY0,0,0,0,0,0,0,0,0,72,183,135,146,188,4,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,3,0,7,5,10,0
A0A1L8EYB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8FZ98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8G016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8GXY4,0,9.037,8.279,31.745,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8HCK2,0,66,63,117,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
A0A1L8HU22,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,61,27,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1P8AUY4,70.05,40,27,96,0,0,1,4,2,53,0,11,31,25,1,7,0,62.359,105.46,75.141,9.979,15,0,0,0,0,0,2,2,6,8,19,60,13,127.803,0
A0A1P8AW69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052,0,0,2,0,0,0,0,0,0,0,0,0,0,3.785,0,0,1,0,5,0,3.039,0
A0A1P8B554,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,292,143,55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1S3C4H6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,240,122,68,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1S4A695,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1S4F020,0,0,0,0,0,0,0,3,0,3,0,0,0,26,19,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0
A0A1U8F5V2,0,60,40,112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
A0A1U8QP15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1U8QTJ9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,113,106,63,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1U8QWA2,6,13,13,24,1,0,0,0,0,0,0,2,0,0,0,0,0,43,50,20,6,13,0,0,0,0,9,0,0,0,0,0,0,0,0,0
A0A1U8QYZ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1V0QSA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1V0QSF1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,92,81,111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1V6NYI6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1W2P872,46,55,41,130,0,0,1,0,0,1,1,5,2,16,10,5,1,304,314,138,78,29,0,0,0,0,36,0,0,0,1,6,5,2,1,0
A0A1X9QDU5,0,0,0,0,0,0,0,0,0,13,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,1,0,7,0
A0A1Z3GBS4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
A0A250YGJ5,417,229,139,379,3,0,1,0,0,6,1,2,4,2,6,1,17,2552.624,1995.829,885.749,1771,299.469,0,0,0,0,10,6,2,0,1,8,0,0,4,0
A0A254TZW7,0,11,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
A0A286LF01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,12,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A286R227,43,54,53,174,14,0,0,0,1,3,3,8,3,20,5,5,0,238.388,215.119,74,58,15,0,0,0,0,23,2,4,2,1,4,1,9,6,0
A0A287B8J2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A291PQG3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2A5K5H4,39.169,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,214.152,221.644,118,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2G5I8W0,1,0,0,0,0,0,0,0,0,0,0,0,0,21.966,12,10,5,15,22,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
