"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_D"
"A0A0C5URS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0D1BUH6",0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,5,0
"A0A0D2XVZ5",0,0,0,0,0,0,0,0,0,2,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,17,0,1,0,0,0,0
"A0A0D2YG06",0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
"A0A0D3QS97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0D3QS99",0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
"A0A0E0SMA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0F7CUE8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0G2JDV3",0,0,0,0,0,0,42,91,124,294,203,316,419,292,97,73,0,0,0,0,0,0,0,0,0,0,0,1148,1260,1077,1449,2123,1692,1178,2139,0
"A0A0G2JEB6",103,0,0,0,0,0,2,5,3,7,0,8,6,111,48,34,7,1035,710,179,166,0,0,0,0,0,0,8,1,10,1,8,26,34,53,0
"A0A0G2K047",0,0,0,0,0,0,3,2,2,5,0,0,3,4,2,7,0,0,0,0,0,0,0,0,0,0,0,11,18,24,6,19,0,9,28,0
"A0A0G2K1Q8",33,40,51,113,1,0,0,0,0,0,0,0,0,0,0,0,1,296,189,108,76,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"A0A0H2URH2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H2VBH0",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H2VDN9",8,203,132,357,8,2,11,1,4,1,1,2,1,26,28,23,3,227,285,146,60,74,0,0,0,0,111,31,42,8,23,36,35,21,38,0
"A0A0H3AL67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H3JQ59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H3JRU9",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H3K6J4",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0H3LKL4",762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0I9QGZ2",29,10,3,18,0,0,1,1,1,5,0,11,2,76,36,25,9,474,393,166,105,32,0,0,0,0,0,7,0,5,12,28,8,10,13,0
"A0A0K2JKU1",0,0,0,0,0,0,5,6,14,39,28,65,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,81,122,108,108,84,69,110,0
"A0A0K2JL91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0K9RDW0",0,0,0,0,0,0,1,2,14,64,32,55,56,5,1,3,3,0,0,0,0,0,0,0,0,0,0,17,11,27,149,208,247,174,169,0
"A0A0L0P4F8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0L0P6P7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0L7K812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M3R8G1",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0M5K865",91,0,0,0,0,0,28,55,31,68,39,107,85,72,28,35,13,394,857,201,148,123,0,0,0,0,0,125,121,128,280,272,340,172,343,0
"A0A0P0VG31",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0WGX7",186,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,145,173,60,13,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A0A0P0X004",8,10,3,33,0,0,0,4,4,4,1,0,0,0,0,0,4,62,31,12,0,3,0,0,0,0,0,8,21,9,8,13,21,0,39,0
"A0A0P0XB70",0,9,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P0XM10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0P6JG37",19,80,63,119,4,0,0,0,0,0,0,0,0,0,0,0,0,259,228,98,58,23,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"A0A0R3K2G2",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
"A0A0R4I9Y1",1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
"A0A0R4IBK5",18,5,5,26,1,0,9,9,16,284,75,152,241,18,4,5,3,987,797,329,265,80,0,0,0,0,54,0,0,0,143,383,459,295,457,0
"A0A0R4IC37",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4IEW8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4IF99",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4IKJ1",48,69,56,113,1,0,9,24,33,112,78,118,160,243,158,79,2,783,834,351,246,93,0,0,0,0,29,291,375,338,274,414,330,323,289,0
"A0A0R4IMY7",33,44,32,86,0,0,0,0,0,0,0,0,0,0,0,0,0,230,118,54,46,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"A0A0R4IQZ2",154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R4IVA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A0R8YWJ7",0,0,0,0,0,0,3,4,20,103,2,52,82,29,25,5,0,0,0,0,0,0,0,0,0,0,0,150,334,199,48,113,174,110,174,0
"A0A0S6XAW4",0,14,12,48,0,0,0,0,0,1,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,9,23,9,0,7,0,0,19,0
"A0A0U5CNP2",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A125YHX7",184,380,278,848,135,175,1,6,0,3,3,3,2,15,10,7,141,802,664,319,231,56,210,196,193,145,50,1,0,0,24,55,103,22,80,0
"A0A125YS36",420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,237,246,102,133,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A125YZN2",221,223,218,439,3,0,4,7,1,3,1,10,2,25,7,4,18,849,914,414,396,137,0,0,0,0,53,38,27,11,31,79,35,23,48,0
"A0A140H545",1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"A0A140IL92",0,46.381,24.798,40.494,3.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A140JWS7",16,17,3,16,1,0,3,10,0,7,5,14,7,7,27,3,0,53,78,38,6,11,0,0,0,0,10,13,11,4,54,38,29,71,55,0
"A0A140LI88",20,35,13,39,2,0,0,0,0,1,2,8,6,1,1,3,0,224,84,21,43,6,0,0,0,0,6,1,7,8,9,0,1,0,1,0
"A0A140N890",0,8,18,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0
"A0A166YZW0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A166YZY4",0,0,0,0,0,0,1,0,0,2,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,7,1,3,0,4,3,0
"A0A166YZY9",70,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,156,74,13,14,4,0,0,0,0,0,1,2,12,0,0,0,0,0,0
"A0A167LUQ4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,4,6,0,0,0,9,0,0
"A0A168WVR6",4,33,18,55,2,0,0,0,0,0,0,0,0,4,0,1,1,20,13,25,8,4,0,0,0,0,17,3,0,9,0,1,0,0,7,0
"A0A172J1S0",0,4,4,4,0,0,0,0,0,0,0,0,0,5,1,7,0,0,0,0,0,0,0,0,0,0,7,0,0,1,4,0,9,0,1,0
"A0A172J1V3",0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"A0A182C2Z2",0,16.219,0,8.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1B0GWK0",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1B2CTA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1B3PEJ0",3,28,25,36,0,0,0,0,4,0,2,0,1,7,3,1,0,29,42,22,0,0,0,0,0,0,0,4,49,44,4,8,1,6,10,0
"A0A1B4XBG9",50,109,51,147,1,0,0,4,15,42,24,24,25,11,3,3,18,282,384,152,99,48,0,0,0,0,57,34,40,30,57,124,28,54,99,0
"A0A1B5L6A5",0,97,74,155,2,0,0,2,1,5,4,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,36,15,10,33,37,75,41,21,40,0
"A0A1B7YCL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1B8YAB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1C3YKE0",0,11,4,27,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1C7D1B7",27,44,48,125,1,0,0,0,0,0,0,0,0,0,0,0,1,231,262,133,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D3PCM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D5P556",16,0,0,0,0,0,0,1,0,1,0,0,1,6,2,5,1,59,70,25,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A0A1D6IEG9",3,9,9,14,0,0,0,0,0,0,0,0,0,0,0,0,5,40,26,16,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"A0A1D6KL43",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D6LAB7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PDL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PDU3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PDZ1",0,356,42,193,3,1,2,1,199,222,330,116,127,472,310,274,1,0,0,0,0,0,0,0,0,0,229,2510,3025,2413,1170,2072,1726,2717,1018,0
"A0A1D8PF45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PF57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PFV1",1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PH78",0,137,136,154,4,0,1,1,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,62,0,19,1,47,43,47,19,16,0
"A0A1D8PHH4",0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
"A0A1D8PHW1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PL99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PN83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1D8PSK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"A0A1E3B0T2",0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1I9LM04",6,4,5,15,6,0,0,0,0,0,0,0,0,0,0,0,2,125,107,41,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1L5BUX8",0,3,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"A0A1L5YRA2",0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1L7TZY0",0,0,0,0,0,0,0,0,10,25,17,21,25,2,0,0,0,2,0,0,0,0,0,0,0,0,0,97,0,0,11,0,34,20,63,0
"A0A1L8EYB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1L8FZ98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1L8G016",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1L8GXY4",0,9.037,8.279,31.745,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1L8HCK2",0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"A0A1L8HU22",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1P8AUY4",51,28,19,69,0,0,1,3,2,41,0,8,23,17,1,5,0,91,144,99,16,21,0,0,0,0,0,4,4,10,13,29,81,21,161,0
"A0A1P8AW69",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,6,0,4,0
"A0A1P8B554",155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1S3C4H6",125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1S4A695",0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1S4F020",0,0,0,0,0,0,0,1,0,1,0,0,0,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,0,0,1,0
"A0A1U8F5V2",0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
"A0A1U8QP15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1U8QTJ9",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,70,72,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1U8QWA2",5,15,16,29,1,0,0,0,0,0,0,2,0,0,0,0,0,46,50,21,9,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"A0A1U8QYZ5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1V0QSA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1V0QSF1",124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1V6NYI6",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A1W2P872",55,77,56,205,0,0,1,0,0,1,1,3,1,12,9,3,1,278,274,120,83,29,0,0,0,0,27,0,0,0,1,13,12,6,1,0
"A0A1X9QDU5",0,0,0,0,0,0,0,0,0,7,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,1,0,14,0
"A0A1Z3GBS4",0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"A0A250YGJ5",715,342,190,555,2,0,1,0,0,2,1,1,2,1,3,1,24,1885,1491,657,1222,224,0,0,0,0,13,14,7,0,1,21,0,0,12,0
"A0A254TZW7",0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"A0A286LF01",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A286R227",31,41,41,139,12,0,0,0,1,2,2,5,2,14,3,4,0,302,271,95,79,21,0,0,0,0,28,4,7,4,1,8,1,15,11,0
"A0A287B8J2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A291PQG3",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2A5K5H4",80,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,87,98,57,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2G5I8W0",1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,3,38,58,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2H3D905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A0A2H5AIZ1",516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
