"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"12","O08962","KCNH2_RAT","Kcnh2 Erg","Potassium voltage-gated channel subfamily H member 2 (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (RERG) (r-ERG) (Voltage-gated potassium channel subunit Kv11.1)","cell surface [GO:0009986]; cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; inward rectifier potassium channel complex [GO:1902937]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]; C3HC4-type RING finger domain binding [GO:0055131]; delayed rectifier potassium channel activity [GO:0005251]; identical protein binding [GO:0042802]; inward rectifier potassium channel activity [GO:0005242]; ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; ubiquitin protein ligase binding [GO:0031625]; voltage-gated potassium channel activity [GO:0005249]; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1902282]; brain development [GO:0007420]; cardiac muscle contraction [GO:0060048]; cellular response to drug [GO:0035690]; membrane depolarization during action potential [GO:0086010]; membrane repolarization [GO:0086009]; membrane repolarization during action potential [GO:0086011]; membrane repolarization during cardiac muscle cell action potential [GO:0086013]; membrane repolarization during ventricular cardiac muscle cell action potential [GO:0098915]; negative regulation of potassium ion export across plasma membrane [GO:1903765]; negative regulation of potassium ion transmembrane transport [GO:1901380]; positive regulation of potassium ion transmembrane transport [GO:1901381]; potassium ion export across plasma membrane [GO:0097623]; potassium ion homeostasis [GO:0055075]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of membrane potential [GO:0042391]; regulation of membrane repolarization [GO:0060306]; regulation of potassium ion transmembrane transport [GO:1901379]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]; spinal cord development [GO:0021510]; ventricular cardiac muscle cell action potential [GO:0086005]"
"13","Q9BLG3","AMT2_DICDI","amtB DDB_G0277889","Ammonium transporter 2","contractile vacuolar membrane [GO:0031164]; endolysosome membrane [GO:0036020]; integral component of plasma membrane [GO:0005887]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; ammonium transmembrane transporter activity [GO:0008519]; ammonium transmembrane transport [GO:0072488]; ammonium transport [GO:0015696]; excretion [GO:0007588]"
"14","Q70LM5","LGRC_BREPA","lgrC","Linear gramicidin synthase subunit C [Includes: ATP-dependent valine adenylase (ValA) (Valine activase); ATP-dependent D-valine adenylase (D-ValA) (D-valine activase); Valine racemase [ATP-hydrolyzing] (EC 5.1.1.-); ATP-dependent tryptophan adenylase (TrpA) (Tryptophan activase); ATP-dependent tryptophan/phenylalanine/tyrosine adenylase (Trp/Phe/TyrA) (Tryptophan/phenylalanine/tyrosine activase)]","isomerase activity [GO:0016853]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; antibiotic biosynthetic process [GO:0017000]"
"15","Q6K9G1","AMT12_ORYSJ","AMT1-2 AMT1-3 Os02g0620600 LOC_Os02g40730 OJ1234_B11.3 OJ1372_D06.28 OsJ_07562","Ammonium transporter 1 member 2 (OsAMT1;2)","integral component of plasma membrane [GO:0005887]; ammonium transmembrane transporter activity [GO:0008519]; ammonium transmembrane transport [GO:0072488]"
"16","P42042","AMYG_BLAAD","GAA","Glucoamylase (EC 3.2.1.3) (1,4-alpha-D-glucan glucohydrolase) (Glucan 1,4-alpha-glucosidase)","glucan 1,4-alpha-glucosidase activity [GO:0004339]; polysaccharide catabolic process [GO:0000272]"
"17","F4KD71","DUR3_ARATH","DUR3 At5g45380 MFC19.5","Urea-proton symporter DUR3 (AtDUR3) (High-affinity urea active transporter DUR3)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; symporter activity [GO:0015293]; urea transmembrane transporter activity [GO:0015204]; cellular response to nitrogen starvation [GO:0006995]; urea transmembrane transport [GO:0071918]"
"18","Q63184","E2AK2_RAT","Eif2ak2 Prkr","Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2)","cytoplasm [GO:0005737]; cytosolic ribosome [GO:0022626]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; activation of MAPKK activity [GO:0000186]; cellular response to amino acid starvation [GO:0034198]; defense response to virus [GO:0051607]; endoplasmic reticulum unfolded protein response [GO:0030968]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of osteoblast proliferation [GO:0033689]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of apoptotic process [GO:0043065]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production [GO:0001819]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of hematopoietic progenitor cell differentiation [GO:1901532]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of NLRP3 inflammasome complex assembly [GO:1900225]; response to exogenous dsRNA [GO:0043330]; response to interferon-alpha [GO:0035455]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to organic substance [GO:0010033]; response to toxic substance [GO:0009636]; response to virus [GO:0009615]; response to vitamin E [GO:0033197]; translation [GO:0006412]"
"19","Q54NS8","AIFB_DICDI","aifB DDB_G0285005","Apoptosis-inducing factor homolog B (EC 1.-.-.-)","cytoplasm [GO:0005737]; electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; flavin adenine dinucleotide binding [GO:0050660]"
"20","P53152","MMS2_YEAST","MMS2 YGL087C","Ubiquitin-conjugating enzyme variant MMS2 (UEV MMS2)","cytoplasm [GO:0005737]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]; ubiquitin conjugating enzyme complex [GO:0031371]; ligase activity [GO:0016874]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin-protein transferase activity [GO:0004842]; free ubiquitin chain polymerization [GO:0010994]; postreplication repair [GO:0006301]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein targeting to vacuolar membrane [GO:0044395]"
"21","P57103","NAC3_HUMAN","SLC8A3 NCX3","Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)","axon [GO:0030424]; axon terminus [GO:0043679]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; intrinsic component of plasma membrane [GO:0031226]; microtubule [GO:0005874]; mitochondrial outer membrane [GO:0005741]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; sarcolemma [GO:0042383]; sarcoplasm [GO:0016528]; synapse [GO:0045202]; calcium:sodium antiporter activity [GO:0005432]; calmodulin binding [GO:0005516]; ion antiporter activity involved in regulation of postsynaptic membrane potential [GO:0099580]; metal ion binding [GO:0046872]; calcium ion export across plasma membrane [GO:1990034]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; cell communication [GO:0007154]; cellular calcium ion homeostasis [GO:0006874]; cellular response to cAMP [GO:0071320]; cellular response to hypoxia [GO:0071456]; hematopoietic progenitor cell differentiation [GO:0002244]; ion transport [GO:0006811]; learning [GO:0007612]; learning or memory [GO:0007611]; long-term synaptic potentiation [GO:0060291]; memory [GO:0007613]; mitochondrial calcium ion homeostasis [GO:0051560]; mitochondrial calcium ion transmembrane transport [GO:0006851]; modulation of excitatory postsynaptic potential [GO:0098815]; myelination [GO:0042552]; negative regulation of protein serine/threonine kinase activity [GO:0071901]; oligodendrocyte differentiation [GO:0048709]; regulation of cardiac conduction [GO:1903779]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; regulation of skeletal muscle contraction [GO:0014819]; sodium ion transmembrane transport [GO:0035725]; synapse organization [GO:0050808]; telencephalon development [GO:0021537]"
"22","Q5RBU7","PCP_PONAB","PRCP","Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)","lysosome [GO:0005764]; carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]"
"23","Q07598","NLTP_CHICK","SCP2","Non-specific lipid-transfer protein (NSL-TP) (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase) (SCP-chi) (SCPX) (Sterol carrier protein 2) (SCP-2) (Sterol carrier protein X) (SCP-X) (Fragment)","mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; acetyl-CoA C-acyltransferase activity [GO:0003988]; acetyl-CoA C-myristoyltransferase activity [GO:0050633]; cholesterol transfer activity [GO:0120020]; lipid binding [GO:0008289]; phosphatidylcholine transfer activity [GO:0120019]; propanoyl-CoA C-acyltransferase activity [GO:0033814]; propionyl-CoA C2-trimethyltridecanoyltransferase activity [GO:0050632]; bile acid metabolic process [GO:0008206]; fatty acid beta-oxidation [GO:0006635]; lipid transport [GO:0006869]; positive regulation of intracellular cholesterol transport [GO:0032385]"
"24","Q07176","MMK1_MEDSA","MMK1 ERK1 MSK7","Mitogen-activated protein kinase homolog MMK1 (EC 2.7.11.24) (MAP kinase ERK1) (MAP kinase MSK7)","ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; cell cycle [GO:0007049]; cell division [GO:0051301]; conjugation [GO:0000746]"
"25","Q08288","LYAR_MOUSE","Lyar","Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264)","cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; photoreceptor outer segment [GO:0001750]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; erythrocyte development [GO:0048821]; innate immune response [GO:0045087]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of phagocytosis [GO:0050766]; rRNA processing [GO:0006364]"
"26","A5D9W7","MCA1_PICGU","MCA1 PGUG_00072","Metacaspase-1 (EC 3.4.22.-)","cysteine-type peptidase activity [GO:0008234]; apoptotic process [GO:0006915]"
"27","P53476","ACT_TOXGO","ACT1","Actin","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]"
"28","P81900","KAPR2_DROME","Pka-R2 pka-RII CG15862","cAMP-dependent protein kinase type II regulatory subunit","cAMP-dependent protein kinase complex [GO:0005952]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; cAMP binding [GO:0030552]; cAMP-dependent protein kinase regulator activity [GO:0008603]; axon guidance [GO:0007411]; behavioral response to cocaine [GO:0048148]; behavioral response to ethanol [GO:0048149]; cellular response to ethanol [GO:0071361]; circadian rhythm [GO:0007623]; locomotor rhythm [GO:0045475]; regulation of cAMP-mediated signaling [GO:0043949]; regulation of protein kinase A signaling [GO:0010738]; rhythmic behavior [GO:0007622]"
"29","P33160","FDH_PSESR","","Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)","cytoplasm [GO:0005737]; formate dehydrogenase complex [GO:0009326]; formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; formate catabolic process [GO:0042183]"
"30","Q70LM4","LGRD_BREPA","lgrD","Linear gramicidin synthase subunit D [Includes: ATP-dependent D-leucine adenylase (D-LeuA) (D-leucine activase); Leucine racemase [ATP-hydrolyzing] (EC 5.1.1.-); ATP-dependent tryptophan adenylase (TrpA) (Tryptophan activase); ATP-dependent glycine adenylase (GlyA) (Glycine activase); Linear gramicidin--PCP reductase (EC 1.-.-.-)]","isomerase activity [GO:0016853]; ligase activity [GO:0016874]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; antibiotic biosynthetic process [GO:0017000]"
"31","P21439","MDR3_HUMAN","ABCB4 MDR3 PGY3","Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)","actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; intercellular canaliculus [GO:0046581]; membrane [GO:0016020]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; phosphatidylcholine floppase activity [GO:0090554]; phospholipid transporter activity [GO:0005548]; bile acid secretion [GO:0032782]; cellular response to bile acid [GO:1903413]; ceramide translocation [GO:0099040]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; phospholipid translocation [GO:0045332]; positive regulation of cholesterol transport [GO:0032376]; positive regulation of phospholipid translocation [GO:0061092]; positive regulation of phospholipid transport [GO:2001140]; regulation of lipid metabolic process [GO:0019216]; response to fenofibrate [GO:1901557]; transmembrane transport [GO:0055085]"
"32","P51903","PGK_CHICK","PGK","Phosphoglycerate kinase (EC 2.7.2.3)","chromosome [GO:0005694]; cytosol [GO:0005829]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; phosphorylation [GO:0016310]; positive regulation of oxidative phosphorylation [GO:1903862]"
"33","A3DBX3","GUB_HUNT2","licB lam1 Cthe_0211","Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Laminarinase) (Lichenase)","licheninase activity [GO:0042972]; polysaccharide catabolic process [GO:0000272]"
"34","P41561","IDH2_COLMA","icd2","Isocitrate dehydrogenase [NADP] 2 (EC 1.1.1.42) (IDH-II) (IDP-2) (NADP(+)-specific ICDH 2) (Oxalosuccinate decarboxylase 2)","isocitrate dehydrogenase (NADP+) activity [GO:0004450]; metal ion binding [GO:0046872]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]"
"35","Q92887","MRP2_HUMAN","ABCC2 CMOAT CMOAT1 CMRP MRP2","Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2) (EC 7.6.2.2)","apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; integral component of plasma membrane [GO:0005887]; intercellular canaliculus [GO:0046581]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATPase-coupled xenobiotic transmembrane transporter activity [GO:0008559]; bilirubin transmembrane transporter activity [GO:0015127]; organic anion transmembrane transporter activity [GO:0008514]; protein domain specific binding [GO:0019904]; xenobiotic transmembrane transporter activity [GO:0042910]; benzylpenicillin metabolic process [GO:1901086]; bile acid and bile salt transport [GO:0015721]; bile acid signaling pathway [GO:0038183]; canalicular bile acid transport [GO:0015722]; cellular chloride ion homeostasis [GO:0030644]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to drug [GO:0035690]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to tumor necrosis factor [GO:0071356]; drug export [GO:0046618]; drug transmembrane transport [GO:0006855]; female pregnancy [GO:0007565]; inflammatory response [GO:0006954]; leukotriene transport [GO:0071716]; mercury ion transport [GO:0015694]; negative regulation of gene expression [GO:0010629]; prostaglandin transport [GO:0015732]; regulation of bile acid secretion [GO:0120188]; response to 17alpha-ethynylestradiol [GO:1904486]; response to antineoplastic agent [GO:0097327]; response to arsenic-containing substance [GO:0046685]; response to estradiol [GO:0032355]; response to estrogen [GO:0043627]; response to glucagon [GO:0033762]; response to heat [GO:0009408]; response to methotrexate [GO:0031427]; response to oxidative stress [GO:0006979]; thyroid hormone transport [GO:0070327]; transepithelial transport [GO:0070633]; transmembrane transport [GO:0055085]; transport across blood-brain barrier [GO:0150104]; xenobiotic catabolic process [GO:0042178]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]; xenobiotic transport across blood-brain barrier [GO:1990962]"
"36","P11024","NNTM_BOVIN","NNT","NAD(P) transhydrogenase, mitochondrial (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase) (Pyridine nucleotide transhydrogenase)","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; NAD binding [GO:0051287]; NAD(P)+ transhydrogenase activity [GO:0008746]; NADP binding [GO:0050661]; NADPH regeneration [GO:0006740]; proton transmembrane transport [GO:1902600]; reactive oxygen species metabolic process [GO:0072593]"
"37","O81852","AKH2_ARATH","AKHSDH2 AK-HSDH II At4g19710 T16H5.70","Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic (AK-HD 2) (AK-HSDH 2) (Beta-aspartyl phosphate homoserine 2) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]","chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; aspartate family amino acid biosynthetic process [GO:0009067]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]"
"38","O60285","NUAK1_HUMAN","NUAK1 ARK5 KIAA0537 OMPHK1","NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)","cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; p53 binding [GO:0002039]; protein serine/threonine kinase activity [GO:0004674]; cell adhesion [GO:0007155]; cellular response to DNA damage stimulus [GO:0006974]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; regulation of cell adhesion [GO:0030155]; regulation of cell population proliferation [GO:0042127]; regulation of cellular senescence [GO:2000772]; regulation of myosin-light-chain-phosphatase activity [GO:0035507]; regulation of signal transduction by p53 class mediator [GO:1901796]"
"39","Q9LFN3","PT511_ARATH","At5g11230 F2I11.120","Probable sugar phosphate/phosphate translocator At5g11230","endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]; antiporter activity [GO:0015297]; transmembrane transporter activity [GO:0022857]; carbohydrate transport [GO:0008643]"
"40","Q07949","PSR2_YEAST","PSR2 YLR019W","Probable phosphatase PSR2 (EC 3.1.3.-) (Plasma membrane sodium response protein 2)","cytosol [GO:0005829]; plasma membrane [GO:0005886]; phosphoprotein phosphatase activity [GO:0004721]; cellular response to salt stress [GO:0071472]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; protein dephosphorylation [GO:0006470]; response to salt stress [GO:0009651]"
"41","Q8JGM4","QSOX1_CHICK","QSOX1 QSCN6 QSOX SOX","Sulfhydryl oxidase 1 (EC 1.8.3.2) (Quiescin Q6)","extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; intercellular bridge [GO:0045171]; FAD binding [GO:0071949]; flavin-linked sulfhydryl oxidase activity [GO:0016971]; protein disulfide isomerase activity [GO:0003756]; extracellular matrix assembly [GO:0085029]; negative regulation of macroautophagy [GO:0016242]; protein folding [GO:0006457]"
"42","Q9SF40","RL4A_ARATH","RPL4A At3g09630 F11F8.22","60S ribosomal protein L4-1 (L1)","cell wall [GO:0005618]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; polysomal ribosome [GO:0042788]; vacuole [GO:0005773]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"43","Q76C99","RF1_ORYSI","Rf1 PPR791 PPR8-1 Rf-1 Rf-1A","Protein Rf1, mitochondrial (Fertility restorer) (Protein PPR) (Restorer for CMS)","mitochondrion [GO:0005739]"
"44","Q9T0D6","PP306_ARATH","At4g11690 T5C23.120","Pentatricopeptide repeat-containing protein At4g11690","mitochondrion [GO:0005739]; mitochondrial mRNA modification [GO:0080156]; response to abscisic acid [GO:0009737]"
