"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"14","Q9P1Z3","HCN3_HUMAN","HCN3 KIAA1535","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3","cone cell pedicle [GO:0044316]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; cAMP binding [GO:0030552]; voltage-gated potassium channel activity [GO:0005249]; voltage-gated sodium channel activity [GO:0005248]; cellular response to dopamine [GO:1903351]; potassium ion transmembrane transport [GO:0071805]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391]; response to cisplatin [GO:0072718]; sodium ion transmembrane transport [GO:0035725]"
"15","Q02TT1","MASZ_PSEAB","glcB PA14_06290","Malate synthase G (EC 2.3.3.9)","cytoplasm [GO:0005737]; malate synthase activity [GO:0004474]; metal ion binding [GO:0046872]; glyoxylate cycle [GO:0006097]; tricarboxylic acid cycle [GO:0006099]"
"16","Q91896","1433Z_XENLA","ywhaz","14-3-3 protein zeta","cytoplasm [GO:0005737]; regulation of ERK1 and ERK2 cascade [GO:0070372]"
"17","Q9BJZ5","FUSIL_DROME","fus CG8205","RNA-binding protein fusilli","nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]"
"18","Q5NVB5","PGK1_PONAB","PGK1","Phosphoglycerate kinase 1 (EC 2.7.2.3)","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]"
"19","B1XJS8","RL24_SYNP2","rplX rpl24 SYNPCC7002_A1054","50S ribosomal protein L24","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"20","Q0WKV3","PPR36_ARATH","At1g12300 F5O11.4","Pentatricopeptide repeat-containing protein At1g12300, mitochondrial","mitochondrion [GO:0005739]; RNA binding [GO:0003723]; mitochondrial mRNA processing [GO:0090615]"
"21","Q6AUK5","MSRB3_ORYSJ","MSRB3 Os05g0404200 LOC_Os05g33510 OSJNBb0006J12.16","Peptide methionine sulfoxide reductase B3, chloroplastic (OsMSRB3) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)","chloroplast [GO:0009507]; metal ion binding [GO:0046872]; peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979]"
"22","O65729","RL18_CICAR","RPL18","60S ribosomal protein L18 (Fragment)","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"23","P94078","MANA1_ARATH","At3g26720 MLJ15.11","Alpha-mannosidase At3g26720 (EC 3.2.1.24)","secretory vesicle [GO:0099503]; vacuolar membrane [GO:0005774]; vacuole [GO:0005773]; alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; mannose metabolic process [GO:0006013]"
"24","A0T097","PSBD_PHATC","psbD","Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)","chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]"
"25","Q8VZW1","NIP11_ARATH","NIP1-1 NLM1 At4g19030 F13C5.200","Aquaporin NIP1-1 (NOD26-like intrinsic protein 1-1) (AtNIP1;1) (Nodulin-26-like major intrinsic protein 1) (NodLikeMip1) (Protein NLM1)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; arsenite transmembrane transporter activity [GO:0015105]; water channel activity [GO:0015250]; arsenite transport [GO:0015700]; hydrogen peroxide transmembrane transport [GO:0080170]; regulation of defense response [GO:0031347]; response to arsenic-containing substance [GO:0046685]"
"26","P55786","PSA_HUMAN","NPEPPS PSA","Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]; cellular response to hypoxia [GO:0071456]; peptide catabolic process [GO:0043171]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]"
"27","P08548","LIN1_NYCCO","","LINE-1 reverse transcriptase homolog (EC 2.7.7.49)","metal ion binding [GO:0046872]; RNA-directed DNA polymerase activity [GO:0003964]"
"28","Q9C554","EXPA1_ARATH","EXPA1 EXP1 At1g69530 F10D13_18","Expansin-A1 (AtEXPA1) (Alpha-expansin-1) (At-EXP1) (AtEx1) (Ath-ExpAlpha-1.2)","cell wall [GO:0005618]; extracellular region [GO:0005576]; membrane [GO:0016020]; plant-type cell wall organization [GO:0009664]"
"29","Q653P0","KOR1_ORYSJ","Os06g0250600 LOC_Os06g14030 OSJNBa0091G06.35 P0431E05.11","Potassium channel KOR1 (K(+) outward-rectifying channel 1)","integral component of membrane [GO:0016021]; voltage-gated potassium channel activity [GO:0005249]; regulation of ion transmembrane transport [GO:0034765]"
"30","P55737","HS902_ARATH","HSP90-2 ERD8 HSP81-2 LRA2 MUSE12 At5g56030 MDA7.7","Heat shock protein 90-2 (AtHSP90.2) (AtHsp90-2) (Heat shock protein 81-2) (Hsp81-2) (Protein EARLY-RESPONSIVE TO DEHYDRATION 8) (Protein LOSS OF RECOGNITION OF AVRRPM1 2) (Protein MUTANT SNC1-ENHANCING 12)","cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; chaperone-mediated protein folding [GO:0061077]; defense response to bacterium, incompatible interaction [GO:0009816]; protein folding [GO:0006457]; protein stabilization [GO:0050821]"
"31","P53041","PPP5_HUMAN","PPP5C PPP5","Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)","chaperone complex [GO:0101031]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; proximal dendrite [GO:1990635]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; G-protein alpha-subunit binding [GO:0001965]; Hsp90 protein binding [GO:0051879]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine phosphatase activity [GO:0004722]; protein-containing complex binding [GO:0044877]; RNA binding [GO:0003723]; tau protein binding [GO:0048156]; cellular response to cadmium ion [GO:0071276]; cellular response to hydrogen peroxide [GO:0070301]; DNA repair [GO:0006281]; histone dephosphorylation [GO:0016576]; MAPK cascade [GO:0000165]; mitotic cell cycle [GO:0000278]; negative regulation of neuron death [GO:1901215]; negative regulation of protein phosphorylation [GO:0001933]; peptidyl-serine dephosphorylation [GO:0070262]; peptidyl-threonine dephosphorylation [GO:0035970]; positive regulation of glucocorticoid receptor signaling pathway [GO:2000324]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; protein dephosphorylation [GO:0006470]; response to arachidonic acid [GO:1904550]; response to lead ion [GO:0010288]; response to morphine [GO:0043278]; transcription, DNA-templated [GO:0006351]"
"32","Q55190","NHAS3_SYNY3","nhaS3 sll0689","High-affinity Na(+)/H(+) antiporter NhaS3 (Sodium/proton antiporter NhaS3)","integral component of membrane [GO:0016021]; thylakoid membrane [GO:0042651]; solute:proton antiporter activity [GO:0015299]; sodium ion transport [GO:0006814]"
"33","P0C7Q7","PPR38_ARATH","At1g12700 T12C24.31","Putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial","mitochondrion [GO:0005739]; mitochondrial mRNA modification [GO:0080156]"
"34","Q9CPR4","RL17_MOUSE","Rpl17","60S ribosomal protein L17","A band [GO:0031672]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]; polysome [GO:0005844]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]"
"35","P39023","RL3_HUMAN","RPL3 OK/SW-cl.32","60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; 5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to interleukin-4 [GO:0071353]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; ribosomal large subunit assembly [GO:0000027]; SRP-dependent cotranslational protein targeting to membrane [GO:0006614]; translation [GO:0006412]; translational initiation [GO:0006413]; viral transcription [GO:0019083]"
"36","P41105","RL28_MOUSE","Rpl28","60S ribosomal protein L28","cell body [GO:0044297]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosolic large ribosomal subunit [GO:0022625]; dendrite [GO:0030425]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"37","Q944H0","PEAM2_ARATH","NMT2 PMEAMT At1g48600 T1N15.22/T1N15.23 T1N15_20","Phosphomethylethanolamine N-methyltransferase (AtPMEAMT) (EC 2.1.1.-) (Phosphoethanolamine N-methyltransferase 2)","cytoplasm [GO:0005737]; phosphoethanolamine N-methyltransferase activity [GO:0000234]; phosphomethylethanolamine N-methyltransferase activity [GO:0052667]; methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656]"
"38","A8AJF8","RIHA_CITK8","rihA CKO_02512","Pyrimidine-specific ribonucleoside hydrolase RihA (EC 3.2.-.-) (Cytidine/uridine-specific hydrolase)","uridine nucleosidase activity [GO:0045437]; nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleobase metabolic process [GO:0006206]"
"39","Q9F7P4","PRRG_PRB01","","Green-light absorbing proteorhodopsin (GPR)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; light-activated ion channel activity [GO:0010461]; photoreceptor activity [GO:0009881]; phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]"
"40","P0CT80","RS28B_SCHPO","rps2802 rps28b SPCC285.15c","40S ribosomal protein S28-B (S33)","cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; structural constituent of ribosome [GO:0003735]; cleavage involved in rRNA processing [GO:0000469]; cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA [GO:0030490]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit export from nucleus [GO:0000056]"
"41","Q6BH13","MCA1_DEBHA","MCA1 DEHA2G22176g","Metacaspase-1 (EC 3.4.22.-)","cysteine-type peptidase activity [GO:0008234]; apoptotic process [GO:0006915]"
"42","Q8W036","NIP42_ARATH","NIP4-2 NLM5 At5g37820 K22F20.60","Probable aquaporin NIP4-2 (NOD26-like intrinsic protein 4-2) (AtNIP4;2) (Nodulin-26-like major intrinsic protein 5) (NodLikeMip5) (Protein NLM5)","integral component of membrane [GO:0016021]; channel activity [GO:0015267]"
"43","P24922","IF5A2_NICPL","EIF-5A2","Eukaryotic translation initiation factor 5A-2 (eIF-5A-2) (eIF-4D)","ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translation initiation factor activity [GO:0003743]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]"
"44","C5YUK3","FEN11_SORBI","FEN1-A Sb09g026950","Flap endonuclease 1-A (FEN-1-A) (EC 3.1.-.-) (Flap structure-specific endonuclease 1-A)","mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; 5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; flap endonuclease activity [GO:0048256]; magnesium ion binding [GO:0000287]; base-excision repair [GO:0006284]; DNA replication [GO:0006260]; DNA replication, removal of RNA primer [GO:0043137]"
"45","Q9STW6","HSP7F_ARATH","HSP70-6 CPHSC70-1 At4g24280 T22A6.110","Heat shock 70 kDa protein 6, chloroplastic (Chloroplast heat shock protein 70-1) (cpHsc70-1) (Heat shock protein 70-6) (AtHsp70-6)","chloroplast [GO:0009507]; chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plastid [GO:0009536]; thylakoid [GO:0009579]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein targeting to chloroplast [GO:0045036]; response to cadmium ion [GO:0046686]; response to cold [GO:0009409]; response to heat [GO:0009408]; viral process [GO:0016032]"
"46","Q3M6C3","DDGS_TRIV2","Ava_3858","Demethyl-4-deoxygadusol synthase (DDGS) (EC 4.2.3.154)","lyase activity [GO:0016829]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]"
"47","Q3T0U2","RL14_BOVIN","RPL14","60S ribosomal protein L14","cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit biogenesis [GO:0042273]; translation [GO:0006412]"
"48","P02402","RLA1_ARTSA","","60S acidic ribosomal protein P1 (eL12'/ eL12'-P)","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414]"
"49","Q9M2F1","RS272_ARATH","RPS27B ARS27A At3g61110 T20K12.10 T27I15_200","40S ribosomal protein S27-2","cell wall [GO:0005618]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; plasmodesma [GO:0009506]; polysomal ribosome [GO:0042788]; ribosome [GO:0005840]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]"
"50","P07857","NLTP_BOVIN","SCP2","Non-specific lipid-transfer protein (NSL-TP) (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase) (SCP-chi) (SCPX) (Sterol carrier protein 2) (SCP-2) (Sterol carrier protein X) (SCP-X)","mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisome [GO:0005777]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; acetyl-CoA C-acyltransferase activity [GO:0003988]; acetyl-CoA C-myristoyltransferase activity [GO:0050633]; cholesterol transfer activity [GO:0120020]; lipid binding [GO:0008289]; phosphatidylcholine transfer activity [GO:0120019]; propanoyl-CoA C-acyltransferase activity [GO:0033814]; propionyl-CoA C2-trimethyltridecanoyltransferase activity [GO:0050632]; bile acid metabolic process [GO:0008206]; fatty acid beta-oxidation [GO:0006635]; lipid hydroperoxide transport [GO:1901373]; lipid transport [GO:0006869]; positive regulation of intracellular cholesterol transport [GO:0032385]"
"51","P51427","RS52_ARATH","RPS5B AML1 At3g11940 F26K24.23 MEC18.4","40S ribosomal protein S5-2 (AtRPS5A) (Protein ARABIDOPSIS MINUTE-LIKE 1)","cell wall [GO:0005618]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; ribosome [GO:0005840]; vacuole [GO:0005773]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]"
"52","Q58424","SERA_METJA","serA MJ1018","D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95)","NAD binding [GO:0051287]; phosphoglycerate dehydrogenase activity [GO:0004617]; cellular amino acid metabolic process [GO:0006520]; L-serine biosynthetic process [GO:0006564]"
"53","Q84WN3","SWT17_ARATH","SWEET17 At4g15920 dl4000c FCAALL.237","Bidirectional sugar transporter SWEET17 (AtSWEET17) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 17)","integral component of membrane [GO:0016021]; plant-type vacuole membrane [GO:0009705]; fructose transmembrane transporter activity [GO:0005353]; sugar transmembrane transporter activity [GO:0051119]; carbohydrate transport [GO:0008643]; cellular response to cold [GO:0070417]; cellular response to nitrogen starvation [GO:0006995]; circadian rhythm [GO:0007623]; fructose export from vacuole to cytoplasm [GO:1902334]; fructose transmembrane transport [GO:0015755]; protein homooligomerization [GO:0051260]; response to absence of light [GO:0009646]; response to fructose [GO:0009750]"
"54","Q9MSC2","PSBA_HETRO","psbA","Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein)","chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]; response to herbicide [GO:0009635]"
"55","A0T0T0","PSBD_THAPS","psbD","Photosystem II D2 protein (PSII D2 protein) (EC 1.10.3.9) (Photosystem Q(A) protein)","chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]"
"56","P9WQC5","ADHC_MYCTU","adhC adh Rv3045 MTV012.60","NADP-dependent alcohol dehydrogenase C (EC 1.1.1.2)","cell wall [GO:0005618]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NADP+) activity [GO:0008106]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]"
"57","Q9LSQ5","FQR1_ARATH","FQR1 At5g54500 F24B18.12","NAD(P)H dehydrogenase (quinone) FQR1 (EC 1.6.5.2) (Flavodoxin-like quinone reductase 1)","plasma membrane [GO:0005886]; FMN binding [GO:0010181]; NAD(P)H dehydrogenase (quinone) activity [GO:0003955]; cellular response to auxin stimulus [GO:0071365]; oxidation-reduction process [GO:0055114]"
"58","O99252","COX1_PLABE","COI","Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119]"
"59","Q8I136","GALT4_CAEEL","gly-4 Y116F11B.12","Polypeptide N-acetylgalactosaminyltransferase 4 (pp-GaNTase 4) (EC 2.4.1.41) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4)","Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]; polypeptide N-acetylgalactosaminyltransferase activity [GO:0004653]; protein O-linked glycosylation via threonine [GO:0018243]"
"60","Q9STL4","CEP2_ARATH","CEP2 At3g48340 T29H11.140","KDEL-tailed cysteine endopeptidase CEP2 (EC 3.4.22.-)","endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis involved in cellular protein catabolic process [GO:0051603]"
"61","P32321","DCTD_HUMAN","DCTD","Deoxycytidylate deaminase (EC 3.5.4.12) (dCMP deaminase)","cytosol [GO:0005829]; dCMP deaminase activity [GO:0004132]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; dTMP biosynthetic process [GO:0006231]; dUMP biosynthetic process [GO:0006226]; nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleotide metabolic process [GO:0006220]"
"62","Q4X251","AKR1_ASPFU","akr1 sidR AFUA_2G07670","Palmitoyltransferase akr1 (EC 2.3.1.225) (Ankyrin repeat-containing protein akr1)","early endosome membrane [GO:0031901]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein palmitoylation [GO:0018345]"
"63","P93212","14337_SOLLC","TFT7","14-3-3 protein 7",""
