"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"11","Q93YS4","AB22G_ARATH","ABCG22 WBC23 At5g06530 F15M7.6","ABC transporter G family member 22 (ABC transporter ABCG.22) (AtABCG22) (White-brown complex homolog protein 23) (AtWBC23)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; response to water deprivation [GO:0009414]; transpiration [GO:0010148]"
"12","Q9VCE1","BECN1_DROME","Atg6 CG5429","Beclin-1-like protein (Autophagy protein 6-like) (APG6-like)","extrinsic component of membrane [GO:0019898]; phagophore assembly site [GO:0000407]; phosphatidylinositol 3-kinase complex, class III, type I [GO:0034271]; phosphatidylinositol 3-kinase complex, class III, type II [GO:0034272]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; defense response to Gram-negative bacterium [GO:0050829]; endocytosis [GO:0006897]; glycophagy [GO:0061723]; hemopoiesis [GO:0030097]; larval midgut cell programmed cell death [GO:0035096]; late endosome to vacuole transport [GO:0045324]; negative regulation of innate immune response [GO:0045824]; neuron remodeling [GO:0016322]; protein secretion [GO:0009306]; regulation of cytokinesis [GO:0032465]; response to oxidative stress [GO:0006979]"
"13","O08796","EF2K_MOUSE","Eef2k","Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)","dendritic spine [GO:0043197]; postsynaptic density [GO:0014069]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; elongation factor-2 kinase activity [GO:0004686]; translation factor activity, RNA binding [GO:0008135]; cellular response to anoxia [GO:0071454]; cellular response to brain-derived neurotrophic factor stimulus [GO:1990416]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to insulin stimulus [GO:0032869]; negative regulation of apoptotic process [GO:0043066]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of endocytosis [GO:0045807]; positive regulation of synapse assembly [GO:0051965]; protein autophosphorylation [GO:0046777]; regulation of protein autophosphorylation [GO:0031952]; response to ischemia [GO:0002931]; response to prolactin [GO:1990637]; translational elongation [GO:0006414]"
"14","Q8C627","F221B_MOUSE","Fam221b","Protein FAM221B",""
"15","Q3EAR7","GLYT2_ARATH","At3g42180 T27B3.50","Probable glycosyltransferase At3g42180 (EC 2.4.-.-)","Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]; cell wall organization [GO:0071555]; protein glycosylation [GO:0006486]"
"16","Q09445","GRTP6_CAEEL","tbc-6 C04A2.1","Growth hormone-regulated TBC protein 6 (TBC1 domain family member 6)","GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]"
"17","Q58CU3","HBAP1_BOVIN","HSPBAP1","HSPB1-associated protein 1 (27 kDa heat shock protein-associated protein 1)","cytoplasm [GO:0005737]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]"
"18","A7MB73","GT253_BOVIN","CERCAM CEECAM1 GLT25D3","Probable inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)","endoplasmic reticulum lumen [GO:0005788]; identical protein binding [GO:0042802]; cell adhesion [GO:0007155]"
"19","P75849","GLO22_ECOLI","gloC ycbL b0927 JW0910","Hydroxyacylglutathione hydrolase GloC (EC 3.1.2.6) (Accessory type II glyoxalase) (Glyoxalase II 2) (GlxII-2)","cytosol [GO:0005829]; hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]; response to toxic substance [GO:0009636]"
"20","Q9LXF8","AVT1J_ARATH","AVT1J At5g15240 F8M21.130","Amino acid transporter AVT1J (AtAvt1J)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]; amino acid transport [GO:0006865]"
"21","Q9LEW8","FN3KR_ARATH","At3g61080 T27I15_170","Protein-ribulosamine 3-kinase, chloroplastic (EC 2.7.1.172) (Fructosamine 3-kinase-related protein) (AtFN3K-RP)","chloroplast [GO:0009507]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; kinase activity [GO:0016301]; protein-ribulosamine 3-kinase activity [GO:0102193]"
"22","Q6DER6","H2AZL_XENTR","h2a.zl TGas044m04.1 TGas104o01.1","Histone H2A.Z-like (H2A.Zl)","nuclear chromatin [GO:0000790]; nucleosome [GO:0000786]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; chromatin organization [GO:0006325]; chromatin silencing [GO:0006342]; multicellular organism development [GO:0007275]"
"23","Q3UDW8","HGNAT_MOUSE","Hgsnat D8Ertd354e Tmem76","Heparan-alpha-glucosaminide N-acetyltransferase (EC 2.3.1.78) (Transmembrane protein 76)","integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; heparan-alpha-glucosaminide N-acetyltransferase activity [GO:0015019]; transferase activity, transferring acyl groups [GO:0016746]; lysosomal transport [GO:0007041]; protein complex oligomerization [GO:0051259]"
"24","P31060","MODF_ECOLI","modF ORF6 phrA b0760 JW0743","ABC transporter ATP-binding protein ModF (Photorepair protein PhrA)","ATP-binding cassette (ABC) transporter complex [GO:0043190]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; DNA repair [GO:0006281]"
"25","Q8VZJ7","P4H9_ARATH","P4H9 At4g33910 F17I5.100","Probable prolyl 4-hydroxylase 9 (AtP4H9) (EC 1.14.11.2)","endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; integral component of membrane [GO:0016021]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-proline 4-dioxygenase activity [GO:0004656]; peptidyl-proline hydroxylation to 4-hydroxy-L-proline [GO:0018401]"
"26","Q8VHI3","OFUT2_MOUSE","Pofut2","GDP-fucose protein O-fucosyltransferase 2 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 2) (O-FucT-2)","endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; fucosyltransferase activity [GO:0008417]; peptide-O-fucosyltransferase activity [GO:0046922]; fucose metabolic process [GO:0006004]; fucosylation [GO:0036065]; mesoderm formation [GO:0001707]; positive regulation of protein folding [GO:1903334]; protein O-linked fucosylation [GO:0036066]; regulation of epithelial to mesenchymal transition [GO:0010717]; regulation of gene expression [GO:0010468]; regulation of secretion [GO:0051046]"
"27","Q5RBU7","PCP_PONAB","PRCP","Lysosomal Pro-X carboxypeptidase (EC 3.4.16.2) (Proline carboxypeptidase) (Prolylcarboxypeptidase) (PRCP)","lysosome [GO:0005764]; carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]"
"28","P34024","PLC_LISMO","plcA pic lmo0201","1-phosphatidylinositol phosphodiesterase (EC 4.6.1.13) (Phosphatidylinositol diacylglycerol-lyase) (Phosphatidylinositol-specific phospholipase C) (PI-PLC)","cytoplasm [GO:0005737]; extracellular region [GO:0005576]; phosphatidylinositol diacylglycerol-lyase activity [GO:0004436]; phosphoric diester hydrolase activity [GO:0008081]; lipid catabolic process [GO:0016042]; pathogenesis [GO:0009405]"
"29","Q7T2B9","MTPN_DANRE","mtpn","Myotrophin","cytoplasm [GO:0005737]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; regulation of barbed-end actin filament capping [GO:2000812]"
"30","Q9FKI4","NAA10_ARATH","NAA10 At5g13780 MXE10.5","N-terminal acetyltransferase A complex catalytic subunit NAA10 (AtNAA10) (EC 2.3.1.255)","cytosol [GO:0005829]; NatA complex [GO:0031415]; plastid [GO:0009536]; N-acetyltransferase activity [GO:0008080]; peptide-glutamate-N-acetyltransferase activity [GO:1990190]; peptide-serine-N-acetyltransferase activity [GO:1990189]; embryo development ending in seed dormancy [GO:0009793]; N-terminal peptidyl-glutamic acid acetylation [GO:0018002]; N-terminal peptidyl-serine acetylation [GO:0017198]; response to water deprivation [GO:0009414]"
"31","Q08288","LYAR_MOUSE","Lyar","Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264)","cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; photoreceptor outer segment [GO:0001750]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; erythrocyte development [GO:0048821]; innate immune response [GO:0045087]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of phagocytosis [GO:0050766]; rRNA processing [GO:0006364]"
"32","Q0JIL1","NRX2_ORYSJ","Os01g0794400 LOC_Os01g58194 OsJ_03740","Probable nucleoredoxin 2 (OsNrx2) (EC 1.8.1.8)","protein-disulfide reductase activity [GO:0047134]"
"33","Q55BZ4","PCY2_DICDI","pctA DDB_G0270298","Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase)","phagocytic vesicle [GO:0045335]; ethanolamine-phosphate cytidylyltransferase activity [GO:0004306]; phosphatidylethanolamine biosynthetic process [GO:0006646]"
"34","F4IS56","ILK1_ARATH","ILK1 APK1 At2g43850 F18O19.4","Integrin-linked protein kinase 1 (EC 2.7.11.1) (Ankyrin protein kinase 1)","cytoplasmic side of plasma membrane [GO:0009898]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; innate immune response [GO:0045087]; protein autophosphorylation [GO:0046777]; response to osmotic stress [GO:0006970]"
"35","F4I1X0","HIP41_ARATH","HIPP41 At1g55790 F14J16.2 F14J16.3 F20N2.17","Heavy metal-associated isoprenylated plant protein 41 (AtHIP41)","cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]; rRNA base methylation [GO:0070475]"
"36","Q8RAS5","HFLX_CALS4","hflX TTE1127","GTPase HflX (GTP-binding protein HflX)","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]"
"37","P33160","FDH_PSESR","","Formate dehydrogenase (FDH) (EC 1.17.1.9) (NAD-dependent formate dehydrogenase)","cytoplasm [GO:0005737]; formate dehydrogenase complex [GO:0009326]; formate dehydrogenase (NAD+) activity [GO:0008863]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; formate catabolic process [GO:0042183]"
"38","Q0IGK1","MBD4L_ARATH","MBD4L At3g07930 F17A17.27","Methyl-CpG-binding domain protein 4-like protein (EC 3.2.2.-) (Protein MBD4-like)","nucleus [GO:0005634]; DNA binding [GO:0003677]; hydrolase activity [GO:0016787]; DNA repair [GO:0006281]"
"39","P21439","MDR3_HUMAN","ABCB4 MDR3 PGY3","Phosphatidylcholine translocator ABCB4 (EC 7.6.2.1) (ATP-binding cassette sub-family B member 4) (Multidrug resistance protein 3) (P-glycoprotein 3)","actin cytoskeleton [GO:0015629]; apical plasma membrane [GO:0016324]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of plasma membrane [GO:0005887]; intercellular canaliculus [GO:0046581]; membrane [GO:0016020]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; phosphatidylcholine floppase activity [GO:0090554]; phospholipid transporter activity [GO:0005548]; bile acid secretion [GO:0032782]; cellular response to bile acid [GO:1903413]; ceramide translocation [GO:0099040]; lipid homeostasis [GO:0055088]; lipid metabolic process [GO:0006629]; phospholipid translocation [GO:0045332]; positive regulation of cholesterol transport [GO:0032376]; positive regulation of phospholipid translocation [GO:0061092]; positive regulation of phospholipid transport [GO:2001140]; regulation of lipid metabolic process [GO:0019216]; response to fenofibrate [GO:1901557]; transmembrane transport [GO:0055085]"
"40","Q8TZB4","MTIP_METKA","MK0021","Probable S-methyl-5'-thioinosine phosphorylase (EC 2.4.2.44) (5'-methylthioinosine phosphorylase) (MTI phosphorylase) (MTIP)","S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]; purine ribonucleoside salvage [GO:0006166]"
"41","W8JDE0","ADH9_CATRO","ADH9","Alcohol dehydrogenase 9 (CrADH9) (EC 1.3.1.-)","oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]"
"42","A3DBX3","GUB_HUNT2","licB lam1 Cthe_0211","Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Laminarinase) (Lichenase)","licheninase activity [GO:0042972]; polysaccharide catabolic process [GO:0000272]"
"43","Q5ZKF6","5NT3B_CHICK","NT5C3B NT5C3L RCJMB04_11c18","7-methylguanosine phosphate-specific 5'-nucleotidase (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3B) (Cytosolic 5'-nucleotidase III-like protein) (cN-III-like protein) (EC 3.1.3.5) (N(7)-methylguanylate 5'-phosphatase)","cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; nucleotide binding [GO:0000166]; phosphatase activity [GO:0016791]; nucleotide metabolic process [GO:0009117]"
"44","Q86AV5","MCFX_DICDI","mcfX DDB_G0276933","Mitochondrial substrate carrier family protein X","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ATP transmembrane transporter activity [GO:0005347]; L-glutamate transmembrane transporter activity [GO:0005313]; L-glutamate transmembrane transport [GO:0015813]"
"45","P05102","MTH1_HAEPH","hhaIM","Modification methylase HhaI (M.HhaI) (EC 2.1.1.37) (Cytosine-specific methyltransferase HhaI)","DNA (cytosine-5-)-methyltransferase activity [GO:0003886]; DNA restriction-modification system [GO:0009307]"
"46","Q09172","PP2C2_SCHPO","ptc2 SPCC1223.11","Protein phosphatase 2C homolog 2 (PP2C-2) (EC 3.1.3.16)","cytosol [GO:0005829]; nucleus [GO:0005634]; magnesium-dependent protein serine/threonine phosphatase activity [GO:0004724]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]; endoplasmic reticulum unfolded protein response [GO:0030968]"
"47","P12368","KAP2_RAT","Prkar2a","cAMP-dependent protein kinase type II-alpha regulatory subunit","cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; glutamatergic synapse [GO:0098978]; nucleotide-activated protein kinase complex [GO:0031588]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; T-tubule [GO:0030315]; beta-2 adrenergic receptor binding [GO:0031698]; cAMP binding [GO:0030552]; cAMP-dependent protein kinase inhibitor activity [GO:0004862]; cAMP-dependent protein kinase regulator activity [GO:0008603]; identical protein binding [GO:0042802]; protein domain specific binding [GO:0019904]; protein kinase A catalytic subunit binding [GO:0034236]; protein-containing complex binding [GO:0044877]; small molecule binding [GO:0036094]; ubiquitin protein ligase binding [GO:0031625]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of cAMP-dependent protein kinase activity [GO:2000480]; regulation of cAMP-mediated signaling [GO:0043949]; regulation of protein kinase A signaling [GO:0010738]; regulation of protein kinase activity [GO:0045859]; response to clozapine [GO:0097338]"
"48","O42936","LAS1_SCHPO","las1 SPBC16C6.12c","Pre-rRNA-processing protein las1","Las1 complex [GO:0090730]; nuclear envelope [GO:0005635]; nuclear heterochromatin [GO:0005720]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; spindle pole [GO:0000922]; endonuclease activity [GO:0004519]; cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000448]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]; rRNA processing [GO:0006364]"
"49","O81852","AKH2_ARATH","AKHSDH2 AK-HSDH II At4g19710 T16H5.70","Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic (AK-HD 2) (AK-HSDH 2) (Beta-aspartyl phosphate homoserine 2) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]","chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; aspartate family amino acid biosynthetic process [GO:0009067]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]"
"50","O60285","NUAK1_HUMAN","NUAK1 ARK5 KIAA0537 OMPHK1","NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)","cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; microtubule cytoskeleton [GO:0015630]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; p53 binding [GO:0002039]; protein serine/threonine kinase activity [GO:0004674]; cell adhesion [GO:0007155]; cellular response to DNA damage stimulus [GO:0006974]; intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]; regulation of cell adhesion [GO:0030155]; regulation of cell population proliferation [GO:0042127]; regulation of cellular senescence [GO:2000772]; regulation of myosin-light-chain-phosphatase activity [GO:0035507]; regulation of signal transduction by p53 class mediator [GO:1901796]"
"51","A9UQ62","MTNA_MONBE","34861","Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)","cytoplasm [GO:0005737]; nucleus [GO:0005634]; S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]"
"52","Q07949","PSR2_YEAST","PSR2 YLR019W","Probable phosphatase PSR2 (EC 3.1.3.-) (Plasma membrane sodium response protein 2)","cytosol [GO:0005829]; plasma membrane [GO:0005886]; phosphoprotein phosphatase activity [GO:0004721]; cellular response to salt stress [GO:0071472]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of transcription from RNA polymerase II promoter in response to heat stress [GO:0061408]; protein dephosphorylation [GO:0006470]; response to salt stress [GO:0009651]"
"53","Q9SF40","RL4A_ARATH","RPL4A At3g09630 F11F8.22","60S ribosomal protein L4-1 (L1)","cell wall [GO:0005618]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; polysomal ribosome [GO:0042788]; vacuole [GO:0005773]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"54","Q5F3A6","OTU1_CHICK","YOD1 RCJMB04_24h21","Ubiquitin thioesterase OTU1 (EC 3.4.19.12)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; metal ion binding [GO:0046872]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; endoplasmic reticulum unfolded protein response [GO:0030968]; macroautophagy [GO:0016236]; protein deubiquitination [GO:0016579]; protein K11-linked deubiquitination [GO:0035871]; protein K27-linked deubiquitination [GO:1990167]; protein K29-linked deubiquitination [GO:0035523]; protein K33-linked deubiquitination [GO:1990168]; protein K48-linked deubiquitination [GO:0071108]; protein K63-linked deubiquitination [GO:0070536]; ubiquitin-dependent ERAD pathway [GO:0030433]"
"55","Q9UTK2","RM19_SCHPO","mrpl19 SPAC1486.07c","54S ribosomal protein L19, mitochondrial","cytoplasm [GO:0005737]; large ribosomal subunit [GO:0015934]; mitochondrial large ribosomal subunit [GO:0005762]; ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]"
"56","Q9UK39","NOCT_HUMAN","NOCT CCR4 CCRN4L NOC","Nocturnin (EC 3.1.3.-) (Carbon catabolite repression 4-like protein)","cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; 3'-5'-exoribonuclease activity [GO:0000175]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; NADP phosphatase activity [GO:0019178]; NADPH phosphatase activity [GO:0102757]; poly(A)-specific ribonuclease activity [GO:0004535]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; cytoplasmic mRNA processing body assembly [GO:0033962]; deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA stabilization [GO:0048255]; NADP metabolic process [GO:0006739]; negative regulation of gene expression [GO:0010629]; negative regulation of osteoblast differentiation [GO:0045668]; positive regulation of fat cell differentiation [GO:0045600]; regulation of circadian rhythm [GO:0042752]; regulation of embryonic development [GO:0045995]; response to extracellular stimulus [GO:0009991]; response to lipopolysaccharide [GO:0032496]; transcription by RNA polymerase II [GO:0006366]"
"57","Q9T0D6","PP306_ARATH","At4g11690 T5C23.120","Pentatricopeptide repeat-containing protein At4g11690","mitochondrion [GO:0005739]; mitochondrial mRNA modification [GO:0080156]; response to abscisic acid [GO:0009737]"
"58","Q13237","KGP2_HUMAN","PRKG2 PRKGR2","cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)","apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; negative regulation of chloride transport [GO:2001226]; peptidyl-serine autophosphorylation [GO:0036289]; protein localization to plasma membrane [GO:0072659]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]"
