Entry,A,B,C,D,Total
A0A3G1DJG9,0,0,1,0,1
A0A3G9GQ29,0,0,1,0,1
A0A3G9H185,0,0,1,0,1
A0A3G9H990,0,0,1,0,1
A0A3G9HRC2,1,0,0,0,1
A0A3S5YBC7,1,1,1,1,4
A0A411L030,1,0,0,0,1
A0A411PQP8,1,1,1,1,4
A0A452G813,1,0,0,0,1
A0A455R5H4,1,1,1,0,3
A0A481NR20,1,0,0,0,1
A0A482NAR8,1,1,1,1,4
A0A4P8WAE5,1,0,0,0,1
A0A4Y1YQ38,1,1,1,1,4
A0A4Y1YTM1,1,1,1,1,4
A0A509AFG4,1,1,1,1,4
A0A509AHB6,1,1,1,1,4
A0A509AKL0,1,1,1,1,4
A0A509AQE6,1,1,1,1,4
A0A5C1RDG7,0,0,1,1,2
A0A5K1K8H0,1,1,1,1,4
A0AK43,0,0,0,1,1
A0AUS0,0,1,1,0,2
A0AUV4,0,0,1,0,1
A0AVI2,1,1,0,0,2
A0B5R0,1,0,1,1,3
A0B8A1,0,1,0,0,1
A0BD92,1,1,0,0,2
A0BKG2,0,0,0,1,1
A0BLX0,1,1,1,0,3
A0BQL0,1,1,1,1,4
A0CCD2,0,1,1,1,3
A0CDD4,1,1,0,1,3
A0CEY2,0,1,0,0,1
A0CUB5,1,1,1,1,4
A0CYG2,0,0,0,1,1
A0DSB3,1,1,1,1,4
A0DTY1,0,0,1,1,2
A0E358,0,1,0,0,1
A0FGR8,0,1,0,1,2
A0FGR9,1,1,1,1,4
A0FKG7,1,0,1,1,3
A0FKI7,0,0,0,1,1
A0JJU1,0,0,0,1,1
A0JJX5,1,0,1,1,3
A0JM08,0,1,0,0,1
A0JM23,1,1,1,1,4
A0JM51,0,0,1,0,1
A0JM56,1,1,1,1,4
A0JM59,1,0,0,0,1
A0JMG9,1,1,1,1,4
A0JMH0,0,0,1,1,2
A0JMH2,1,1,1,1,4
A0JMQ0,0,0,1,0,1
A0JMU5,0,1,0,1,2
A0JMW2,1,1,1,1,4
A0JN41,0,0,1,0,1
A0JNA3,1,0,0,1,2
A0JNA8,0,1,1,1,3
A0JNC4,0,1,1,0,2
A0JND4,0,1,1,0,2
A0JP26,0,0,1,0,1
A0JP70,1,0,0,0,1
A0JP85,1,0,1,1,3
A0JPA0,1,1,1,0,3
A0JPH3,0,0,0,1,1
A0JPI9,1,1,1,1,4
A0K478,0,0,1,0,1
A0K4Z6,0,0,0,1,1
A0KJE0,1,0,0,0,1
A0KKF0,0,1,1,0,2
A0KKI5,0,0,0,1,1
A0KPQ1,1,0,0,1,2
A0KQR3,1,0,0,0,1
A0L4B2,0,0,1,0,1
A0L5X4,0,1,0,0,1
A0LC19,0,0,0,1,1
A0LE04,0,1,0,0,1
A0LJ41,1,0,0,0,1
A0LMC0,0,0,0,1,1
A0LMC1,0,0,1,1,2
A0LNW5,1,0,0,0,1
A0LP26,1,1,0,0,2
A0LTX3,0,1,1,0,2
A0LWS7,0,1,1,0,2
A0LXM7,0,1,0,0,1
A0LXQ1,0,1,0,0,1
A0LY94,0,1,0,0,1
A0LYC2,0,1,0,0,1
A0LYZ0,0,1,0,0,1
A0M3L3,0,1,0,0,1
A0M4Z2,0,1,0,0,1
A0M4Z3,0,0,0,1,1
A0M572,0,1,0,0,1
A0M576,0,1,0,0,1
A0M579,0,1,0,0,1
A0M588,0,1,0,0,1
A0M591,0,1,0,0,1
A0M592,0,1,0,0,1
A0M594,0,1,0,0,1
A0M5A0,0,1,0,0,1
A0M7D0,0,1,0,0,1
A0MFS9,1,0,1,0,2
A0MSJ1,0,0,1,0,1
A0NLY7,1,0,0,0,1
A0PDV5,0,0,1,0,1
A0PGB3,1,1,1,1,4
A0PJE2,1,0,0,0,1
A0PJK1,0,0,1,0,1
A0PJN4,0,0,0,1,1
A0PJX2,1,1,1,1,4
A0PQ21,1,1,1,1,4
A0PQ29,0,1,1,1,3
A0Q1R3,0,1,1,1,3
A0Q7B6,0,0,0,1,1
A0QG83,1,0,0,0,1
A0QKY9,0,0,1,0,1
A0QNM2,0,0,1,0,1
A0QNZ7,1,1,1,0,3
A0QP18,1,1,1,1,4
A0QP27,0,0,1,1,2
A0QQ37,0,0,1,0,1
A0QSH4,1,0,0,1,2
A0QV09,1,1,1,1,4
A0QV10,0,0,1,1,2
A0QYL8,0,0,1,0,1
A0R0B0,1,1,1,0,3
A0R1E8,1,0,1,0,2
A0R1T4,1,0,0,0,1
A0R566,0,1,1,1,3
A0R5E1,1,0,0,1,2
A0R665,0,0,0,1,1
A0R6D0,0,0,0,1,1
A0T097,0,1,0,0,1
A0T0B7,1,0,0,0,1
A0T0C0,0,0,0,1,1
A0T0C6,1,1,1,1,4
A0T0C9,1,0,0,1,2
A0T0D1,0,1,1,1,3
A0T0D8,0,0,0,1,1
A0T0E0,0,1,0,0,1
A0T0F0,0,1,0,0,1
A0T0F1,1,0,0,0,1
A0T0L2,0,1,1,0,2
A0T0L9,1,0,0,0,1
A0T0M8,1,0,0,0,1
A0T0M9,1,0,0,0,1
A0T0P3,0,0,0,1,1
A0T0P7,0,0,0,1,1
A0T0T0,1,0,0,1,2
A0T0T6,1,0,0,0,1
A0T0T7,1,1,1,1,4
A0T2M3,0,1,1,1,3
A0ZT93,1,0,0,0,1
A1A040,0,1,0,0,1
A1A1I4,0,1,1,0,2
A1A442,1,0,1,0,2
A1A4L5,1,1,0,0,2
A1A4P5,1,0,0,0,1
A1A4V9,0,1,0,0,1
A1A5B4,0,1,0,0,1
A1A5G0,0,0,1,0,1
A1A5G2,0,1,1,0,2
A1A5G6,0,0,1,0,1
A1A5H6,0,1,1,0,2
A1A5Q6,0,0,0,1,1
A1A5X2,1,0,0,0,1
A1A6H3,1,1,1,1,4
A1AK41,1,0,0,0,1
A1AN64,1,0,0,0,1
A1APP9,1,0,1,0,2
A1AT85,0,1,0,1,2
A1AW44,1,0,0,0,1
A1AXZ2,1,0,0,1,2
A1B072,1,0,0,0,1
A1B0G1,1,0,0,0,1
A1BDF5,0,1,0,0,1
A1BIY4,1,0,0,0,1
A1C4A5,1,0,0,0,1
A1C5V3,0,1,0,1,2
A1CAQ1,0,1,0,0,1
A1CBC9,1,0,0,0,1
A1CC33,0,0,0,1,1
A1CCN4,0,0,1,0,1
A1CFB3,0,0,0,1,1
A1CFL8,0,0,0,1,1
A1CJ08,0,0,0,1,1
A1CKJ0,0,0,0,1,1
A1CLZ5,1,0,0,0,1
A1CNV1,0,1,0,0,1
A1CQZ0,0,0,1,1,2
A1CRM1,1,0,0,0,1
A1CRV0,1,1,1,1,4
A1CUK5,1,0,1,0,2
A1D3V4,0,1,0,0,1
A1D4K4,0,0,0,1,1
A1D6V7,1,0,0,0,1
A1DE13,0,0,0,1,1
A1DG68,0,0,1,0,1
A1DHV3,0,1,0,0,1
A1DHY9,1,1,0,1,3
A1DLC1,0,0,1,0,1
A1DMA5,1,0,0,0,1
A1DNL0,1,0,0,0,1
A1DP85,1,0,0,0,1
A1DWM3,0,0,0,1,1
A1E295,1,1,1,0,3
A1JHN0,1,0,0,0,1
A1JHR5,0,1,1,1,3
A1JJ50,0,0,0,1,1
A1JJB8,0,0,1,0,1
A1JLS2,1,0,0,0,1
A1JLU9,0,0,0,1,1
A1JMX8,0,1,0,0,1
A1JPB6,1,0,0,0,1
A1K1M2,0,1,0,0,1
A1K3Y6,1,0,0,0,1
A1K5J4,1,0,0,0,1
A1K5T6,0,1,0,1,2
A1K7B5,1,0,0,0,1
A1KQG0,1,0,0,0,1
A1L0T3,0,1,0,1,2
A1L0Y2,0,1,1,0,2
A1L0Z6,0,1,1,0,2
A1L1G1,0,0,1,1,2
A1L1K7,0,0,1,0,1
A1L1P9,1,1,1,1,4
A1L258,0,1,1,1,3
A1L2E4,0,1,0,0,1
A1L3X0,1,0,1,1,3
A1L4W5,1,0,0,0,1
A1L4X0,1,1,1,1,4
A1L4Y1,1,0,0,0,1
A1L504,1,1,0,0,2
A1R083,0,0,1,0,1
A1R728,1,0,0,0,1
A1RGR7,0,0,0,1,1
A1RIZ0,0,1,0,0,1
A1RRV9,0,0,1,0,1
A1RTZ6,0,0,1,0,1
A1RU43,0,0,0,1,1
A1RU92,0,0,1,0,1
A1RXG2,0,0,0,1,1
A1RY08,0,1,1,0,2
A1RYE4,1,0,0,1,2
A1S1Z8,1,1,1,1,4
A1S788,1,0,0,0,1
A1SJ61,0,1,1,0,2
A1SPV1,0,1,0,0,1
A1STE5,0,0,0,1,1
A1STS0,0,0,0,1,1
A1SU11,1,0,0,1,2
A1SWB8,1,1,0,1,3
A1SWV0,0,0,1,0,1
A1SX09,0,0,0,1,1
A1T726,0,1,1,1,3
A1T787,1,0,0,0,1
A1TFU9,0,0,1,0,1
A1TRV8,0,0,1,0,1
A1TTW5,1,0,0,0,1
A1TWN0,0,1,0,0,1
A1TYJ6,0,1,0,0,1
A1TZV5,0,0,1,0,1
A1U0K1,0,1,1,0,2
A1U1Q2,0,1,0,0,1
A1U1Q7,0,0,1,1,2
A1U2U4,0,0,1,0,1
A1U3F2,0,1,0,0,1
A1U5D9,1,0,0,0,1
A1U613,0,0,1,0,1
A1UEC5,0,0,1,1,2
A1UEC6,0,0,1,0,1
A1UUC9,0,0,1,0,1
A1V0M1,0,1,0,0,1
A1VC40,1,1,1,1,4
A1VMG1,1,0,0,0,1
A1VN54,0,0,1,0,1
A1VYV7,1,1,1,1,4
A1WX30,1,0,0,0,1
A1WZ62,0,0,0,1,1
A1X154,0,0,1,1,2
A1X157,0,0,1,0,1
A1XQR9,1,0,0,0,1
A1XQS5,0,1,0,0,1
A1XQU3,0,1,1,1,3
A1YFX9,0,0,1,1,2
A1Z6M6,0,0,1,0,1
A1Z877,1,0,0,0,1
A1Z8J0,1,0,0,0,1
A1Z9G2,1,1,1,1,4
A1ZAJ2,1,1,0,0,2
A2A259,0,1,1,1,3
A2A2Z9,0,0,1,0,1
A2A4P0,0,0,1,0,1
A2A5R2,1,0,0,1,2
A2A5Z6,0,0,1,1,2
A2A690,0,1,0,1,2
A2A6Q5,0,1,0,0,1
A2A7Q9,0,0,0,1,1
A2A870,0,1,0,0,1
A2ACG1,0,0,1,0,1
A2ACP1,0,1,0,0,1
A2ADU8,0,0,1,0,1
A2AFS3,0,0,1,1,2
A2AGA4,1,0,0,0,1
A2AJ15,1,0,0,0,1
A2AJ88,0,1,1,0,2
A2AKX3,0,0,1,0,1
A2APC3,1,0,1,0,2
A2APV2,0,0,1,0,1
A2AQP0,0,1,0,0,1
A2ASI5,1,0,0,1,2
A2ASS6,1,1,1,1,4
A2AT37,0,0,1,0,1
A2AUC9,0,1,0,0,1
A2AVA0,1,1,1,1,4
A2AWA9,1,0,1,1,3
A2AX52,0,1,0,0,1
A2BFC9,1,1,1,1,4
A2BGR3,0,0,1,0,1
A2BIW2,0,1,0,0,1
A2BN41,0,0,1,0,1
A2BR65,0,1,1,0,2
A2BT26,0,0,0,1,1
A2BX44,0,1,0,0,1
A2BXM8,0,0,1,1,2
A2C6X3,0,0,0,1,1
A2CEQ0,0,0,0,1,1
A2CER7,0,0,1,0,1
A2CI46,1,0,0,1,2
A2CIR5,0,0,0,1,1
A2Q848,1,0,0,0,1
A2Q8F7,1,1,1,1,4
A2Q9L0,0,0,0,1,1
A2Q9T6,0,0,1,0,1
A2QGA1,0,1,0,1,2
A2QLK4,0,0,1,0,1
A2QUY7,1,0,0,0,1
A2R5J1,0,1,0,1,2
A2RAR6,1,0,0,0,1
A2RB75,0,1,0,0,1
A2RRH5,0,1,1,1,3
A2RRV9,1,0,0,0,1
A2RSX7,1,0,0,1,2
A2RT60,0,1,1,0,2
A2RU49,0,0,0,1,1
A2RUV9,1,0,0,0,1
A2RV01,0,0,1,1,2
A2RV18,1,0,0,0,1
A2RVM0,1,1,1,0,3
A2RVS4,1,0,0,0,1
A2SFL0,0,0,1,0,1
A2SH04,0,1,0,0,1
A2SMZ3,1,0,0,0,1
A2T359,1,0,0,0,1
A2VD00,0,1,0,0,1
A2VD33,1,0,0,0,1
A2VD82,0,1,0,0,1
A2VDC2,0,1,0,0,1
A2VDD2,1,1,1,1,4
A2VDL9,0,1,0,0,1
A2VDN6,1,0,0,1,2
A2VDP2,1,0,1,0,2
A2VDR2,1,1,1,1,4
A2VDR8,0,0,0,1,1
A2VDT6,0,0,1,0,1
A2VDV2,1,0,0,0,1
A2VDZ4,0,1,1,0,2
A2VE40,0,1,0,0,1
A2VE52,1,1,1,1,4
A2VE54,0,0,0,1,1
A2VE79,1,0,0,0,1
A2VEC9,0,0,1,1,2
A2VEY9,1,0,1,1,3
A2WNF5,1,0,0,1,2
A2WY46,1,1,1,1,4
A2WZT1,1,0,0,0,1
A2X6E6,1,0,0,0,1
A2XBT1,0,0,1,1,2
A2XDG4,0,0,1,1,2
A2XIP9,0,0,1,0,1
A2XLM6,0,0,1,1,2
A2XMJ1,0,1,0,1,2
A2XQE8,0,1,1,1,3
A2XRZ0,0,0,1,0,1
A2Y8B9,1,0,1,0,2
A2Y8E0,1,1,0,1,3
A2Y9M4,1,1,1,1,4
A2YGP6,0,0,1,0,1
A2YH41,0,0,1,1,2
A2YIW7,0,1,0,1,2
A2YV85,1,0,0,0,1
A2YZ24,1,1,1,1,4
A2ZF66,0,1,0,0,1
A2ZMH2,0,1,0,0,1
A2ZN77,0,0,0,1,1
A2ZVI7,1,1,1,1,4
A3A8W2,0,0,0,1,1
A3AF13,1,1,1,0,3
A3AVH5,0,1,1,1,3
A3AWA4,1,0,1,0,2
A3AYR1,1,1,1,1,4
A3B529,1,0,1,0,2
A3BFT0,1,1,0,0,2
A3BN26,0,0,1,1,2
A3C6G9,1,0,0,0,1
A3CUG3,0,0,1,1,2
A3CY14,0,0,0,1,1
A3DBD7,0,1,0,0,1
A3DBX3,1,1,1,0,3
A3DC22,1,0,1,1,3
A3DC75,1,1,1,0,3
A3DCD4,0,1,0,0,1
A3DF24,0,0,1,1,2
A3DM32,0,1,0,0,1
A3DN24,1,0,0,0,1
A3E4D8,1,1,1,1,4
A3EWL3,0,1,1,1,3
A3FEW8,1,0,0,0,1
A3FIN4,1,1,0,0,2
A3KFF6,0,1,1,1,3
A3KFU9,1,1,1,1,4
A3KGB4,0,0,1,0,1
A3KGW5,0,0,1,0,1
A3KGZ2,1,0,0,1,2
A3KMH1,1,1,1,1,4
A3KMI0,1,0,1,1,3
A3KMP2,0,0,1,1,2
A3KN83,0,1,0,1,2
A3KN95,0,0,0,1,1
A3KP77,0,0,0,1,1
A3KP85,0,0,0,1,1
A3KPE8,1,1,1,1,4
A3KPF2,0,0,0,1,1
A3KPF8,0,0,0,1,1
A3KPP3,1,1,1,1,4
A3KPP4,0,1,0,0,1
A3KPW7,0,0,0,1,1
A3KQ55,1,1,0,0,2
A3KQS4,1,0,1,1,3
A3LNF8,0,0,0,1,1
A3LQW7,1,0,0,0,1
A3LS22,1,0,0,0,1
A3LSY7,1,1,1,1,4
A3LSZ2,1,1,1,1,4
A3LXE7,0,1,0,0,1
A3LXL0,1,0,0,0,1
A3M008,0,0,1,0,1
A3M0J3,0,1,0,1,2
A3MSA1,0,1,0,0,1
A3MX34,0,1,0,0,1
A3MXQ7,0,1,0,0,1
A3N123,0,1,0,0,1
A3N3R7,1,0,0,0,1
A3PB03,0,0,0,1,1
A3PBH4,0,0,1,0,1
A3PCY8,1,0,1,0,2
A3PEI3,1,0,0,0,1
A3PF30,1,0,1,0,2
A3PF83,0,0,0,1,1
A3PN16,0,1,1,1,3
A3PXS9,0,0,1,0,1
A3QJC8,1,0,0,0,1
A3QM97,0,0,1,0,1
A3RCV9,1,1,1,1,4
A3RF36,0,1,0,0,1
A3SK19,0,1,1,1,3
A3SR25,1,1,1,0,3
A3UNN4,0,0,1,1,2
A4D256,0,1,0,0,1
A4D9B6,0,0,0,1,1
A4F7P5,1,1,0,0,2
A4F9L2,0,1,0,0,1
A4FLW9,0,0,1,0,1
A4FV84,1,1,1,1,4
A4FV98,0,1,1,1,3
A4FWE9,0,0,0,1,1
A4G0J1,1,0,0,0,1
A4G7G3,0,1,0,0,1
A4G7G5,0,0,1,0,1
A4G865,1,0,0,0,1
A4GGE7,0,0,1,0,1
A4GNA8,1,0,0,1,2
A4GRC6,0,1,1,0,2
A4H452,0,0,1,0,1
A4IF62,0,0,0,1,1
A4IF87,0,1,0,0,1
A4IF94,1,0,0,1,2
A4IFF3,1,1,1,1,4
A4IG42,0,1,1,0,2
A4IG53,1,1,1,1,4
A4IG72,1,1,1,1,4
A4IGM9,0,0,1,0,1
A4IGU3,0,0,1,1,2
A4IH82,1,1,1,1,4
A4IHB9,0,1,1,1,3
A4IHH4,1,0,0,0,1
A4IHK6,1,0,0,0,1
A4IHR1,1,1,1,1,4
A4II29,0,0,0,1,1
A4II73,1,1,1,1,4
A4IIA7,0,0,0,1,1
A4III8,0,1,1,1,3
A4IIN5,1,0,0,1,2
A4IIS8,1,1,1,1,4
A4IIY2,0,1,0,0,1
A4IJL9,0,0,0,1,1
A4IJY6,1,1,0,1,3
A4IL76,1,0,0,0,1
A4IQ63,0,0,1,1,2
A4IQF5,0,1,0,0,1
A4IR30,0,0,1,1,2
A4IX29,0,0,0,1,1
A4IYA1,1,0,0,0,1
A4J151,0,0,0,1,1
A4J474,0,1,1,0,2
A4JB86,1,1,1,0,3
A4JPG9,1,0,0,0,1
A4K2R3,1,0,0,0,1
A4K2V0,0,0,1,0,1
A4K436,0,1,0,0,1
A4PBL4,1,0,1,0,2
A4PES0,0,0,0,1,1
A4Q9E5,0,0,1,0,1
A4Q9E8,1,0,0,0,1
A4Q9F1,0,0,0,1,1
A4Q9F3,1,1,1,1,4
A4Q9F4,0,1,1,1,3
A4Q9F6,0,0,1,0,1
A4QL32,1,0,0,0,1
A4QN56,0,1,1,0,2
A4QN59,1,0,0,1,2
A4QND0,0,0,1,1,2
A4QNG5,0,1,1,1,3
A4QNI8,0,0,0,1,1
A4QNR8,1,1,1,0,3
A4QP78,0,1,1,1,3
A4QVH4,0,0,1,0,1
A4QVI3,0,1,0,0,1
A4R1D5,0,0,1,0,1
A4R606,1,1,1,1,4
A4RF35,0,0,1,0,1
A4RM69,0,0,1,0,1
A4RW83,1,0,1,1,3
A4S6Y4,0,0,1,0,1
A4SE48,1,0,0,0,1
A4SGM9,1,0,0,0,1
A4SGY4,0,0,1,1,2
A4SIE1,0,0,1,0,1
A4SMI9,0,0,1,1,2
A4SML8,0,0,1,0,1
A4SPR6,1,0,0,0,1
A4STK9,0,0,1,0,1
A4SYW3,0,0,1,1,2
A4TC13,0,1,1,1,3
A4TC75,0,0,0,1,1
A4TE41,1,1,1,1,4
A4TED9,0,0,1,0,1
A4TEE0,0,1,0,1,2
A4TN19,0,0,0,1,1
A4TQ91,0,0,0,1,1
A4VGS1,0,1,1,0,2
A4VIL0,1,0,0,1,2
A4VIR4,0,1,0,0,1
A4VL72,0,0,1,1,2
A4VLQ5,0,0,0,1,1
A4VLU6,1,0,0,0,1
A4VQH5,0,0,1,0,1
A4VQH7,0,0,1,1,2
A4VWG9,0,1,0,1,2
A4W369,1,1,0,0,2
A4W6B3,0,0,1,0,1
A4W870,0,1,0,0,1
A4WBJ4,0,0,0,1,1
A4WCK2,0,1,0,0,1
A4WCP8,0,0,1,0,1
A4WDA8,0,0,1,0,1
A4WF97,1,0,0,0,1
A4WH24,0,0,0,1,1
A4WKK8,0,0,1,0,1
A4WVF5,1,1,0,0,2
A4WWV6,1,0,0,0,1
A4XJ59,0,0,0,1,1
A4XLM2,0,1,0,0,1
A4XPM7,1,0,0,0,1
A4XPS6,1,0,0,0,1
A4XQR6,0,0,1,1,2
A4XUX3,0,0,0,1,1
A4XVG1,0,1,0,0,1
A4XVG2,0,1,1,1,3
A4XZ96,1,0,0,0,1
A4Y3F4,1,0,0,0,1
A4Y8W7,1,0,0,0,1
A4YGN0,1,1,1,1,4
A4YI89,1,1,1,1,4
A4YJX9,1,0,1,1,3
A4YM47,0,1,0,0,1
A4YQF7,1,1,0,0,2
A4YWC7,1,0,0,0,1
A5A6J2,0,1,0,0,1
A5A6P2,0,1,1,1,3
A5A779,0,0,1,1,2
A5A7I8,0,0,0,1,1
A5CEP5,0,1,0,0,1
A5CPE3,1,0,1,0,2
A5CQ46,1,1,1,1,4
A5CU64,0,0,1,0,1
A5CXE4,0,1,1,0,2
A5CZ28,1,1,0,0,2
A5D0W6,0,1,1,1,3
A5D6U8,1,0,1,0,2
A5D785,0,0,1,0,1
A5D7F5,0,0,1,1,2
A5D7H3,0,0,1,0,1
A5D9W7,1,1,1,1,4
A5DAC8,1,0,1,1,3
A5DBG4,1,0,0,0,1
A5DDJ4,0,0,0,1,1
A5DFT1,0,1,0,0,1
A5DH19,0,0,1,0,1
A5DID7,0,0,1,1,2
A5DK38,0,0,1,0,1
A5DMB6,0,1,0,0,1
A5DQN2,0,0,1,1,2
A5DQS0,0,0,1,0,1
A5DW14,1,0,1,1,3
A5DZE6,1,0,1,0,2
A5DZS4,0,0,1,0,1
A5E1N2,0,1,0,0,1
A5EVM2,1,1,0,0,2
A5EVX0,0,1,0,0,1
A5EVX5,0,0,0,1,1
A5EX84,1,0,1,0,2
A5F0D5,1,0,0,0,1
A5F4G3,1,0,0,0,1
A5F5U6,0,0,1,0,1
A5F9Z0,0,1,0,0,1
A5FG48,0,1,1,0,2
A5FJG9,0,1,0,0,1
A5FKD9,0,1,0,0,1
A5FKJ2,1,1,1,0,3
A5FMP6,1,1,1,0,3
A5FMZ0,0,1,0,0,1
A5FMZ3,0,1,0,0,1
A5FMZ4,0,1,0,0,1
A5FN17,0,1,0,0,1
A5FN18,0,1,0,0,1
A5FP04,0,1,0,0,1
A5FYE6,0,0,1,1,2
A5FZG9,0,1,1,1,3
A5G029,0,1,1,1,3
A5G146,0,1,0,0,1
A5G1Y9,0,0,1,0,1
A5GF99,0,1,0,0,1
A5GFW1,1,0,1,1,3
A5GIJ2,0,0,0,1,1
A5GIS6,0,0,1,1,2
A5GND0,0,0,0,1,1
A5GRU8,1,0,0,0,1
A5GRX8,0,1,0,0,1
A5GV53,0,1,0,0,1
A5GVF1,0,0,1,0,1
A5I0I2,0,0,1,0,1
A5I3F5,0,0,0,1,1
A5I5U3,0,0,0,1,1
A5II06,0,1,1,0,2
A5IKX2,0,1,0,1,2
A5ILF6,1,0,0,0,1
A5JTQ2,0,0,1,0,1
A5JTQ3,1,0,0,0,1
A5JYS0,1,1,1,0,3
A5JZQ2,0,1,0,1,2
A5K0N4,1,1,1,1,4
A5KE24,0,0,1,1,2
A5LGM7,0,1,1,0,2
A5N4L2,0,0,1,0,1
A5N4T0,0,0,0,1,1
A5N6M3,0,1,0,0,1
A5PF48,0,0,1,0,1
A5PJG7,0,0,1,0,1
A5PJJ7,0,0,1,0,1
A5PJZ1,0,0,0,1,1
A5PJZ2,0,0,1,0,1
A5PK00,0,1,0,0,1
A5PK19,1,1,1,1,4
A5PK40,0,0,1,0,1
A5PK45,1,1,0,1,3
A5PK74,1,0,0,0,1
A5PKG6,0,1,1,0,2
A5PKH3,0,0,0,1,1
A5PL98,1,0,0,0,1
A5PMF6,1,1,1,1,4
A5PMR2,0,1,0,0,1
A5PMU4,1,1,1,1,4
